scenario,requested_time,forecast_time,raw_webster_cycle_seconds,recommended_cycle_seconds,phase_1_green_seconds,phase_2_green_seconds,estimated_saving_vehicle_minutes_per_cycle,recommended_phase,passed,errors
weekday_morning,2026-06-15T07:30:00,2026-06-15T08:00:00Z,50.47,60,33,15,14.27,1,True,
weekday_am_peak,2026-06-15T08:30:00,2026-06-15T09:00:00Z,50.89,60,33,15,14.31,1,True,
weekday_midday,2026-06-15T12:30:00,2026-06-15T13:00:00Z,26.01,60,33,15,2.14,1,True,
weekday_pm_peak,2026-06-15T17:30:00,2026-06-15T18:00:00Z,230.0,120,77,31,0.0,1,True,
weekday_evening,2026-06-15T21:00:00,2026-06-15T21:30:00Z,49.54,60,33,15,13.81,1,True,
friday_midday,2026-06-19T12:30:00,2026-06-19T13:00:00Z,26.03,60,33,15,2.13,1,True,
weekend_evening,2026-06-20T18:00:00,2026-06-20T18:30:00Z,37.83,60,33,15,8.87,1,True,
